Date,MaxValue,MayorCause,value
2003-01-01,0.0,LateAircraft,4
2003-01-02,0.0,LateAircraft,4
2003-01-03,0.0,LateAircraft,4
2003-01-04,0.0,LateAircraft,4
2003-01-05,0.0,LateAircraft,4
2003-01-06,0.0,LateAircraft,4
2003-01-07,0.0,LateAircraft,4
2003-01-08,0.0,LateAircraft,4
2003-01-09,0.0,LateAircraft,4
2003-01-10,0.0,LateAircraft,4
2003-01-11,0.0,LateAircraft,4
2003-01-12,0.0,LateAircraft,4
2003-01-13,0.0,LateAircraft,4
2003-01-14,0.0,LateAircraft,4
2003-01-15,0.0,LateAircraft,4
2003-01-16,0.0,LateAircraft,4
2003-01-17,0.0,LateAircraft,4
2003-01-18,0.0,LateAircraft,4
2003-01-19,0.0,LateAircraft,4
2003-01-20,0.0,LateAircraft,4
2003-01-21,0.0,LateAircraft,4
2003-01-22,0.0,LateAircraft,4
2003-01-23,0.0,LateAircraft,4
2003-01-24,0.0,LateAircraft,4
2003-01-25,0.0,LateAircraft,4
2003-01-26,0.0,LateAircraft,4
2003-01-27,0.0,LateAircraft,4
2003-01-28,0.0,LateAircraft,4
2003-01-29,0.0,LateAircraft,4
2003-01-30,0.0,LateAircraft,4
2003-01-31,0.0,LateAircraft,4
2003-02-01,0.0,LateAircraft,4
2003-02-02,0.0,LateAircraft,4
2003-02-03,0.0,LateAircraft,4
2003-02-04,0.0,LateAircraft,4
2003-02-05,0.0,LateAircraft,4
2003-02-06,0.0,LateAircraft,4
2003-02-07,0.0,LateAircraft,4
2003-02-08,0.0,LateAircraft,4
2003-02-09,0.0,LateAircraft,4
2003-02-10,0.0,LateAircraft,4
2003-02-11,0.0,LateAircraft,4
2003-02-12,0.0,LateAircraft,4
2003-02-13,0.0,LateAircraft,4
2003-02-14,0.0,LateAircraft,4
2003-02-15,0.0,LateAircraft,4
2003-02-16,0.0,LateAircraft,4
2003-02-17,0.0,LateAircraft,4
2003-02-18,0.0,LateAircraft,4
2003-02-19,0.0,LateAircraft,4
2003-02-20,0.0,LateAircraft,4
2003-02-21,0.0,LateAircraft,4
2003-02-22,0.0,LateAircraft,4
2003-02-23,0.0,LateAircraft,4
2003-02-24,0.0,LateAircraft,4
2003-02-25,0.0,LateAircraft,4
2003-02-26,0.0,LateAircraft,4
2003-02-27,0.0,LateAircraft,4
2003-02-28,0.0,LateAircraft,4
2003-03-01,0.0,LateAircraft,4
2003-03-02,0.0,LateAircraft,4
2003-03-03,0.0,LateAircraft,4
2003-03-04,0.0,LateAircraft,4
2003-03-05,0.0,LateAircraft,4
2003-03-06,0.0,LateAircraft,4
2003-03-07,0.0,LateAircraft,4
2003-03-08,0.0,LateAircraft,4
2003-03-09,0.0,LateAircraft,4
2003-03-10,0.0,LateAircraft,4
2003-03-11,0.0,LateAircraft,4
2003-03-12,0.0,LateAircraft,4
2003-03-13,0.0,LateAircraft,4
2003-03-14,0.0,LateAircraft,4
2003-03-15,0.0,LateAircraft,4
2003-03-16,0.0,LateAircraft,4
2003-03-17,0.0,LateAircraft,4
2003-03-18,0.0,LateAircraft,4
2003-03-19,0.0,LateAircraft,4
2003-03-20,0.0,LateAircraft,4
2003-03-21,0.0,LateAircraft,4
2003-03-22,0.0,LateAircraft,4
2003-03-23,0.0,LateAircraft,4
2003-03-24,0.0,LateAircraft,4
2003-03-25,0.0,LateAircraft,4
2003-03-26,0.0,LateAircraft,4
2003-03-27,0.0,LateAircraft,4
2003-03-28,0.0,LateAircraft,4
2003-03-29,0.0,LateAircraft,4
2003-03-30,0.0,LateAircraft,4
2003-03-31,0.0,LateAircraft,4
2003-04-01,0.0,LateAircraft,4
2003-04-02,0.0,LateAircraft,4
2003-04-03,0.0,LateAircraft,4
2003-04-04,0.0,LateAircraft,4
2003-04-05,0.0,LateAircraft,4
2003-04-06,0.0,LateAircraft,4
2003-04-07,0.0,LateAircraft,4
2003-04-08,0.0,LateAircraft,4
2003-04-09,0.0,LateAircraft,4
2003-04-10,0.0,LateAircraft,4
2003-04-11,0.0,LateAircraft,4
2003-04-12,0.0,LateAircraft,4
2003-04-13,0.0,LateAircraft,4
2003-04-14,0.0,LateAircraft,4
2003-04-15,0.0,LateAircraft,4
2003-04-16,0.0,LateAircraft,4
2003-04-17,0.0,LateAircraft,4
2003-04-18,0.0,LateAircraft,4
2003-04-19,0.0,LateAircraft,4
2003-04-20,0.0,LateAircraft,4
2003-04-21,0.0,LateAircraft,4
2003-04-22,0.0,LateAircraft,4
2003-04-23,0.0,LateAircraft,4
2003-04-24,0.0,LateAircraft,4
2003-04-25,0.0,LateAircraft,4
2003-04-26,0.0,LateAircraft,4
2003-04-27,0.0,LateAircraft,4
2003-04-28,0.0,LateAircraft,4
2003-04-29,0.0,LateAircraft,4
2003-04-30,0.0,LateAircraft,4
2003-05-01,0.0,LateAircraft,4
2003-05-02,0.0,LateAircraft,4
2003-05-03,0.0,LateAircraft,4
2003-05-04,0.0,LateAircraft,4
2003-05-05,0.0,LateAircraft,4
2003-05-06,0.0,LateAircraft,4
2003-05-07,0.0,LateAircraft,4
2003-05-08,0.0,LateAircraft,4
2003-05-09,0.0,LateAircraft,4
2003-05-10,0.0,LateAircraft,4
2003-05-11,0.0,LateAircraft,4
2003-05-12,0.0,LateAircraft,4
2003-05-13,0.0,LateAircraft,4
2003-05-14,0.0,LateAircraft,4
2003-05-15,0.0,LateAircraft,4
2003-05-16,0.0,LateAircraft,4
2003-05-17,0.0,LateAircraft,4
2003-05-18,0.0,LateAircraft,4
2003-05-19,0.0,LateAircraft,4
2003-05-20,0.0,LateAircraft,4
2003-05-21,0.0,LateAircraft,4
2003-05-22,0.0,LateAircraft,4
2003-05-23,0.0,LateAircraft,4
2003-05-24,0.0,LateAircraft,4
2003-05-25,0.0,LateAircraft,4
2003-05-26,0.0,LateAircraft,4
2003-05-27,0.0,LateAircraft,4
2003-05-28,0.0,LateAircraft,4
2003-05-29,0.0,LateAircraft,4
2003-05-30,0.0,LateAircraft,4
2003-05-31,0.0,LateAircraft,4
2003-06-01,35200.0,Carrier,1
2003-06-02,27437.0,Carrier,1
2003-06-03,26596.0,Carrier,1
2003-06-04,43817.0,NAS,2
2003-06-05,68989.0,LateAircraft,4
2003-06-06,35127.0,NAS,2
2003-06-07,41948.0,Carrier,1
2003-06-08,66725.0,NAS,2
2003-06-09,33230.0,Carrier,1
2003-06-10,31401.0,Carrier,1
2003-06-11,71777.0,NAS,2
2003-06-12,150813.0,NAS,2
2003-06-13,130616.0,NAS,2
2003-06-14,47618.0,NAS,2
2003-06-15,37209.0,Carrier,1
2003-06-16,69065.0,LateAircraft,4
2003-06-17,39138.0,Carrier,1
2003-06-18,77230.0,NAS,2
2003-06-19,63053.0,NAS,2
2003-06-20,57883.0,LateAircraft,4
2003-06-21,35156.0,Carrier,1
2003-06-22,45480.0,Carrier,1
2003-06-23,36465.0,Carrier,1
2003-06-24,35191.0,Carrier,1
2003-06-25,64669.0,NAS,2
2003-06-26,49419.0,LateAircraft,4
2003-06-27,47948.0,Carrier,1
2003-06-28,53441.0,NAS,2
2003-06-29,38950.0,Carrier,1
2003-06-30,37770.0,LateAircraft,4
2003-07-01,37994.0,Carrier,1
2003-07-02,47832.0,LateAircraft,4
2003-07-03,44965.0,Carrier,1
2003-07-04,25305.0,Carrier,1
2003-07-05,30354.0,Carrier,1
2003-07-06,115610.0,NAS,2
2003-07-07,146086.0,LateAircraft,4
2003-07-08,127990.0,NAS,2
2003-07-09,123735.0,NAS,2
2003-07-10,116219.0,NAS,2
2003-07-11,92907.0,NAS,2
2003-07-12,37965.0,Carrier,1
2003-07-13,41993.0,Carrier,1
2003-07-14,46176.0,NAS,2
2003-07-15,60364.0,NAS,2
2003-07-16,51828.0,Carrier,1
2003-07-17,63349.0,NAS,2
2003-07-18,82508.0,LateAircraft,4
2003-07-19,38169.0,Carrier,1
2003-07-20,37665.0,Carrier,1
2003-07-21,133089.0,NAS,2
2003-07-22,164574.0,NAS,2
2003-07-23,64297.0,LateAircraft,4
2003-07-24,54766.0,LateAircraft,4
2003-07-25,55112.0,LateAircraft,4
2003-07-26,28551.0,Carrier,1
2003-07-27,101525.0,LateAircraft,4
2003-07-28,42079.0,Carrier,1
2003-07-29,40383.0,Carrier,1
2003-07-30,36471.0,Carrier,1
2003-07-31,99268.0,LateAircraft,4
2003-08-01,154497.0,NAS,2
2003-08-02,75979.0,Carrier,1
2003-08-03,156515.0,NAS,2
2003-08-04,138515.0,LateAircraft,4
2003-08-05,85320.0,NAS,2
2003-08-06,59450.0,NAS,2
2003-08-07,47263.0,Carrier,1
2003-08-08,59161.0,LateAircraft,4
2003-08-09,57265.0,LateAircraft,4
2003-08-10,54070.0,LateAircraft,4
2003-08-11,122573.0,NAS,2
2003-08-12,56352.0,NAS,2
2003-08-13,64320.0,NAS,2
2003-08-14,53633.0,Carrier,1
2003-08-15,67879.0,Carrier,1
2003-08-16,96095.0,NAS,2
2003-08-17,74660.0,NAS,2
2003-08-18,41508.0,Carrier,1
2003-08-19,32850.0,Carrier,1
2003-08-20,34169.0,NAS,2
2003-08-21,38379.0,NAS,2
2003-08-22,92244.0,NAS,2
2003-08-23,32644.0,Carrier,1
2003-08-24,33106.0,Carrier,1
2003-08-25,28899.0,Carrier,1
2003-08-26,112262.0,NAS,2
2003-08-27,74984.0,NAS,2
2003-08-28,69867.0,NAS,2
2003-08-29,137082.0,NAS,2
2003-08-30,33403.0,NAS,2
2003-08-31,21600.0,Carrier,1
2003-09-01,48603.0,NAS,2
2003-09-02,38856.0,NAS,2
2003-09-03,56955.0,NAS,2
